Object_Designation  ,Year_Range  ,Potential_Impacts  ,Impact_Probability_cumulative,Vinfinity,H_mag,Estimated_Diameter,Palermo_Scale,Palermo_Scale_max
29075 (1950 DA),2880-2880,1,0.00012,14.1,17.6,1.3,-1.42,-1.42
101955 Bennu (1999 RQ36),2175-2199,78,0.00037,5.99,20.2,0.49,-1.69,-2.3
99942 Apophis (2004 MN4),2060-2105,12,8.9E-06,5.85,19.1,0.37,-2.78,-2.88
(1979 XB),2056-2113,2,7.4E-07,23.92,18.5,0.662,-2.8,-3.09
(2000 SG344),2069-2113,101,0.0026,1.36,24.8,0.037,-2.84,-3.2
(2009 JF1),2022-2022,1,0.00026,23.92,27.1,0.013,-2.88,-2.88
(2007 FT3),2024-2116,164,1.4E-06,17.06,20,0.34,-2.95,-3.46
(2008 JL3),2027-2119,27,0.00016,8.42,25.3,0.029,-3.23,-3.24
(2010 RF12),2095-2119,59,0.047,5.1,28.4,0.007,-3.31,-3.32
(2005 QK76),2030-2107,9,6.8E-05,19.67,25.2,0.031,-3.45,-3.59
(2014 MR26),2036-2073,12,2.5E-08,26.98,17.8,0.916,-3.49,-3.8
(2001 CA21),2025-2073,3,9.3E-09,30.7,18.5,0.677,-3.52,-3.53
(2018 VP1),2020-2025,3,0.0041,9.53,30.9,0.002,-3.57,-3.57
(2016 NL56),2023-2118,259,7.2E-07,15.23,20.6,0.265,-3.57,-4.25
(1994 GK),2051-2067,5,6.9E-05,14.87,24.2,0.048,-3.62,-3.63
(2005 ED224),2023-2064,5,2.6E-06,24.96,24,0.054,-3.62,-3.64
(2001 VB),2023-2023,1,2.4E-09,35.02,18.3,0.73,-3.63,-3.63
(2008 UB7),2048-2100,31,3.5E-05,18.51,23.8,0.058,-3.69,-4.3
(2015 ME131),2021-2089,97,3.1E-08,19.72,19.2,0.498,-3.7,-4.26
(2000 SB45),2074-2113,101,0.00016,7.53,24.3,0.046,-3.75,-4.21
(2020 TK5),2039-2056,6,1.3E-05,14.26,23.6,0.066,-3.75,-3.85
(2012 HG2),2052-2119,469,0.0028,3.33,27,0.014,-3.76,-4.26
(2012 QD8),2042-2105,4,6.5E-06,20.76,23.1,0.081,-3.76,-3.9
(2016 WN55),2026-2114,76,1.1E-07,15.41,19.4,0.452,-3.77,-4.46
(2007 DX40),2030-2111,41,6.2E-05,15.53,24.6,0.04,-3.8,-4.22
(2008 EX5),2061-2090,16,4.7E-05,9.92,23.8,0.059,-3.86,-4.13
(2017 WT28),2083-2119,72,0.011,4.47,28.1,0.008,-3.86,-3.89
(2020 FA5),2043-2119,81,6.7E-07,28.26,21,0.212,-3.86,-4.53
(2013 VW13),2071-2084,9,0.00043,16.35,26.2,0.019,-3.9,-4.07
(2009 BE),2061-2117,24,0.00043,11.46,26.1,0.02,-4.01,-4.3
(2006 JY26),2073-2109,39,0.007,2.98,28.4,0.007,-4.04,-4.04
(2008 CC71),2034-2082,20,5.9E-05,8.07,24.9,0.036,-4.09,-4.44
(2017 SH33),2026-2093,21,2.3E-08,25.22,19.2,0.49,-4.09,-4.44
(2014 GN1),2061-2061,1,2.1E-05,21.23,24.6,0.041,-4.13,-4.13
(2015 YJ),2042-2115,54,0.0016,16.35,28.3,0.007,-4.13,-4.36
(2011 DU9),2046-2059,4,0.00028,8.77,26.7,0.016,-4.16,-4.17
(2006 DM63),2031-2116,39,0.00014,10.37,26.7,0.015,-4.17,-4.46
(2017 LD),2053-2120,204,0.0022,4.49,27.5,0.011,-4.18,-4.74
(2020 TJ3),2056-2119,27,6.5E-05,8.2,24.6,0.041,-4.19,-4.83
(2020 MJ),2086-2109,29,9.5E-05,17.05,25.3,0.03,-4.2,-4.42
(2010 CR5),2062-2075,3,7.5E-08,23.68,19.8,0.371,-4.21,-4.24
(2010 GM23),2087-2116,30,6.3E-05,13.44,24.7,0.04,-4.22,-4.87
(2013 TP4),2026-2026,1,4.9E-05,25.3,27.5,0.011,-4.23,-4.23
(2016 WG),2076-2115,24,5.8E-06,23.6,23.3,0.075,-4.23,-4.93
(2008 HJ),2077-2112,25,0.00026,7.53,25.8,0.024,-4.27,-4.73
(2019 LW4),2083-2115,38,0.001,8.62,27.3,0.012,-4.28,-4.31
(2014 JU15),2079-2114,86,5.6E-05,10.35,24.7,0.039,-4.3,-5.2
(2002 RB182),2053-2116,26,6.1E-06,13.26,22.8,0.092,-4.31,-5.02
(2010 UK),2068-2116,43,0.00052,6.08,26.9,0.014,-4.34,-4.35
(2007 KO4),2022-2116,315,4.3E-06,13.71,23.3,0.075,-4.34,-5.14
(2007 KE4),2026-2115,4,1.4E-05,10.07,25.2,0.031,-4.36,-4.39
(2019 LU1),2056-2070,8,4.4E-06,31.85,24.3,0.048,-4.36,-4.42
(2017 RZ17),2022-2116,44,2.5E-08,19.2,19.8,0.369,-4.37,-4.8
(2020 CQ1),2070-2119,11,0.0046,4.9,28.8,0.006,-4.37,-4.38
(2008 ST7),2074-2112,21,2.7E-05,9.97,24.1,0.052,-4.39,-4.81
(2010 QG2),2051-2064,6,1.1E-05,12.89,24.3,0.047,-4.39,-4.4
(2020 TY4),2099-2111,4,2.6E-05,8.37,23.9,0.055,-4.4,-4.41
(2016 HF3),2078-2092,2,4.7E-05,7.93,24.8,0.038,-4.4,-4.4
