"revista","año","numeros","titulos","resumenes"
"Análisis Económico",2010,58,"Convergencia económica interestatal en México, 1900-2004 ","El presente estudio aporta evidencia sobre las tendencias y condicionantes del proceso dereducción de la brecha económica entre estados y por estados. A partir de cortes temporales de mediano y largo plazo que comprenden el periodo 1900-2004, se concluye que en México la tasa de convergencia interestatal ha sido muy baja y ha tendido a declinar en forma continua. Pese a ello, no se encuentra evidencia fuerte de que la apertura detonó en un claro proceso de divergencia regional, pero sí, que no ha logrado contener en forma significativa las preocupantes disparidades económicas entre estados. Antes por el contrario, la tasa de convergencia para el periodo de mayor apertura, resulta no significativa cuando se evalúa en forma absoluta y alcanza lo niveles más bajos desde 1900 si se estima en forma condicional.En este contexto, la existencia de regímenes diferenciados y contrapuestos de crecimientoentre estados, y los insuficientes avances en materia educativa, se revelan como dos delos factores más relevantes que explican el retroceso del aceptable ritmo de convergenciaregional que había alcanzado el país durante 1970-1985."
"Análisis Económico",2010,58,"Crecimiento económico vía cambio tecnológico gubernamental","Uno de los temas de gran interés en la teoría del crecimiento endógeno es el cambio tecnológico y su efecto sobre el crecimiento. Tradicionalmente, el cambio tecnológico ha sido estudiado desde el punto de vista del sector empresarial. El presente trabajo incorpora a la teoría del crecimiento la participación del gobierno como agente generador del cambio tecnológico.Inicialmente se establecen las condiciones, bajo un ambiente determinista, sobre las cuales el gobierno puede generar un cambio tecnológico, se caracteriza el equilibrio macroeconómico y se analiza el impacto sobre el bienestar económico. Posteriormente, la misma hipótesis es introducida en un modelo estocástico de crecimiento, se establece el equilibrio y se analiza, una vez más, el efecto sobre el bienestar. Bajo ambos ambientes se verifican los mismos resultados con respecto a que el impacto del gobierno, como agente generador del cambio tecnológico, es positivo sobre el crecimiento y el bienestar económico. "
"Análisis Económico",2010,58,"Dispersión del ingreso y demanda de educación media superior y superior en México","A pesar de las reformas recientes, la educación en México observa deficiencias notables, en particular, elevadas tasas de deserción en los niveles medio superior y superior. Esta deserción en educación media puede relacionarse con muchos de los problemas que afectan a los jóvenes en el país: delincuencia, desempleo y migración internacional. Más allá de las fallas del sector educativo que afectan la retención, las evidencias sugieren que los problemas de deserción se asocian al incremento en la desigualdad del ingreso. Aquí partimos de la hipótesis de que las diferencias en el ingreso actúan en detrimento de la demanda educativa, a pesar de que los retornos por la escolaridad sean altos. Con datos de enigh y una metodología basada en una regresión por cuantiles y un modelo probabilístico, demostramos la hipótesis anterior encontrando que un aumento de 10% en el ingreso de las familias incrementa en 2.67% la probabilidad de invertir en educación. Adicionalmente, los rendimientos marginales por la educación, muestran un efecto negativo en la probabilidad de educarse."
"Análisis Económico",2010,58,"Evaluación de la estructura de la deuda pública de México, 1980-2008 ","En el documento se estima la mezcla óptima de deuda interna y externa que debería tenerel gobierno de México. Para ello, se siguió el modelo propuesto por Miller en el que la estructura óptima depende del tamaño relativo de la deuda pública total, la base monetaria, las varianzas del tipo de cambio real, la inflación interna y la externa, y de la covarianza entre el gasto público y la inflación interna. De acuerdo con la evidencia empírica, la proporción de deuda interna óptima es de 60.9% en contraste con la observada actualmente que representa 77.6%, de tal forma que pareciera que existe una sobreestimación de los riesgos externos. Clasificación JEL: E62, H63."
"Análisis Económico",2010,58,"Hacia el mercado común norteamericano","El artículo analiza los resultados menguados y menguantes que el Tratado de Libre Comercio de América Latina arroja para la economía mexicana. Destaca cómo otros proveedores del mercado regional (China y algunos países del caribe) participan con ventajas similares y desplazan la producción de México, al tiempo que tienden a absorber una proporción cre- ciente de la inversión extranjera directa que llega a los países no desarrollados. Se formula una propuesta de integración de mayor intensidad: El Mercado Común Norteamericano, con ventajas visibles para Canadá, EUA y México."
"Análisis Económico",2010,58,"Riesgo operativo: esquema de gestión y modelado de riesgo","El objetivo de este artículo es dar un panorama completo acerca de la medición del riesgo operativo. Esto implica transitar de los conceptos más generales del riesgo operativo y su gestión, a aproximarse a su modelación con base en los elementos básicos de frecuencia de evento y severidad de pérdida, y al acercamiento a modelos más completos que implican el manejo de dependencia tanto en la teoría de valores extremos como en los procesos de Lévy."
"Análisis Económico",2010,58,"Telefonía fija y telefonía celular: el dilema de la demanda, 1995-2006","El catalogar a un determinado bien o servicio como una de las “extensiones de los sentidos y las funciones humanas de la vista, el oído y el tacto”, muestra la importancia del papel que desempeñan en nuestras vidas, así como el desarrollo que alcanzaron impulsadas por las mismas necesidades de los seres humanos, muestra un mercado dinámico e importante. El servicio de telefonía móvil o celular es el desencadenador de estas expresiones y además tema de comentario, investigación y preocupación de comunidades científicas y organis- mos internacionales, como el World Economic Forum de Davos. Con esta investigación nos adentramos en este mercado, en el cual intervienen activamente la demanda y la oferta de servicios y equipos que no terminan de innovar, buscando satisfacer las, cada vez más, exigentes necesidades y deseos de los usuarios. Buscamos analizar, específicamente la demanda de telefonía fija y móvil, pretendiendo dilucidar una coyuntura particular y un futuro inmediato e incierto. Para cuyo efecto proponemos aplicar técnicas novedosas que nos ayuda a este propósito, como lo son las Redes Neuronales Artificiales."
"Análisis Económico",2010,58,"Una propuesta de clasificación de las entidades federativas mexicanas para la gestión de la banca de desarrollo","Una gestión eficiente de la banca de desarrollo requiere de una oferta específica de productos y servicios financieros destinada a segmentos relativamente homogéneos, no sólo desde el punto de vista de la actividad económica sectorial, sino también desde el punto de vista geográfico. No es factible ofrecer los mismos productos y servicios en todos los lugares. Así, este trabajo tiene como objetivo proponer una clasificación de los estados mexicanos atendiendo a su grado de desarrollo relativo que sea útil a la misión de la banca de desarrollo. Se propone clasificarlos en tres grupos más o menso homogéneos considerando aspectos industriales y socioeconómicos."
"Análisis Económico",2010,58,"Curva salarial versus curva de Phillips: una estimación microeconómica para el caso español","El objetivo de este trabajo es comprobar la existencia de una curva salarial para la economía española entre 1994 y 1996. Los resultados confirman la relación negativa entre el nivel de los salarios nominales y la tasa de desempleo en los mercados laborales locales. También analizamos si existe una relación entre la tasa de desempleo local y los cambios salariales, como describe la curva de Phillips, con datos desagregados, introduciendo la variable dependiente rezagada en la especificación y comprobamos el valor de su coeficiente. Los resultados no nos permiten afirmar que exista evidencia de una relación de curva de Phillips."
"Análisis Económico",2010,59,"Un modelo de inflación de cambio de Markov: mirando al futuro en tiempos de incertidumbre","En este trabajo, analizamos la dinámica de la inflación en Venezuela, durante los últimos dieciocho años, a través de una estimación de cambio de Markov de una curva de Phillips neokeynesiana. La estimación se realiza mediante el algoritmo EM. Las estimaciones del modelo distinguen entre un régimen ""normal o retrospectivo"" y un régimen de ""expectativa racional"" consistente con episodios de alta incertidumbre con respecto al desempeño de la economía. Esta caracterización de regímenes se basa en dos elementos: la descripción del proceso de formación de expectativas inflacionarias y los principales eventos económicos ocurridos durante cada régimen."
